Rk	break	team	Pts	Spk	1sts	2nds
1	1	Zagreb A	25	1507.00	7	2
2	2	Ateneo de Manila 1	24	1492.00	6	3
3	3	ANU 1	22	1459.00	7	0
4	4	Edinburgh A	21	1476.00	6	0
5	5	LSE B	21	1470.00	5	3
6	6	NUS A	21	1461.00	4	4
7	7	Harvard A	21	1460.00	5	2
8	8	McGill A	20	1468.00	5	2
9	9	Taylor’s 1	20	1460.00	4	4
10	10	Monash 2	20	1448.00	5	2
11	11	Oxford 1	20	1448.00	4	3
12	12	Yale 2	20	1446.00	4	3
13	13	Bard A	20	1432.00	5	1
14	14	Ateneo de Manila 2	19	1476.00	5	2
15	15	Princeton C	19	1463.00	4	3
16	16	MQU A	19	1457.00	5	1
17	17	LSE A	19	1457.00	4	3
18	18	Princeton B	19	1449.00	3	5
19	19	Bates 1	19	1448.00	5	1
20	20	Sofia A	19	1446.00	4	3
21	21	Oxford C	19	1442.00	5	1
22	22	Edinburgh B	19	1441.00	5	0
23	23	Auckland B	19	1436.00	3	4
24	24	Belgrade A	19	1433.00	4	3
25	25	Harvard B	19	1430.00	5	1
26	26	Hart House A	18	1465.00	4	2
27	27	Sydney A	18	1455.00	5	1
28	28	Yale 1	18	1454.00	4	2
29	29	Sydney B	18	1452.00	3	4
30	30	TCD Hist 1	18	1450.00	3	4
31	31	Melbourne 1	18	1449.00	4	2
32	32	Ateneo 4	18	1447.00	5	0
33	33	Tokyo A	18	1445.00	4	2
34	34	Cambridge B	18	1440.00	4	3
35	35	Imperial 1	18	1439.00	5	1
36	36	Phil A	18	1436.00	4	2
37	37	USU C	18	1434.00	4	2
38	38	Cornell 2	18	1428.00	2	6
39	39	MAD 1	18	1424.00	4	2
40	40	LUMS B	18	1424.00	2	5
41	41	Harvard C	18	1421.00	2	6
42	42	NU Q	18	1404.00	3	3
43	43	GLC Z	18	1396.00	4	2
44	44	Imperial 2	18	1395.00	2	5
45	45	Streitkultur A	17	1449.00	4	1
46	46	HUJI B	17	1444.00	3	3
47	47	Auckland A	17	1444.00	2	4
48	48	Sheffield A	17	1443.00	3	3
