Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Cambridge C		1st	1st	2nd	2nd	1st	13	814	3	2
2=	OUI A	ESL	1st	2nd	1st	3rd	1st	12	826	3	1
2=	Stanford B		1st	1st	1st	2nd	3rd	12	826	3	1
4	Dartmouth A		1st	1st	3rd	1st	2nd	12	806	3	1
5	LSE A		3rd	1st	2nd	1st	1st	12	800	3	1
6	PDP A		2nd	1st	2nd	1st	2nd	12	800	2	3
7	Aberystwyth A		1st	2nd	1st	3rd	1st	12	794	3	1
8	Harvard A		1st	1st	2nd	1st	4th	11	817	3	1
9	Edinburgh C		1st	2nd	4th	1st	1st	11	800	3	1
10	Bates A		1st	2nd	1st	4th	1st	11	799	3	1
11	UCD L&amp;H A		2nd	2nd	1st	2nd	2nd	11	794	1	4
12	KCL B		2nd	1st	2nd	3rd	1st	11	793	2	2
13	TCD Hist A		3rd	1st	1st	1st	3rd	11	786	3	0
14	Manchester A		1st	2nd	3rd	1st	3rd	10	813	2	1
15	Copenhagen A	ESL	1st	3rd	1st	2nd	3rd	10	803	2	1
16=	PDP C		2nd	1st	4th	2nd	1st	10	795	2	2
16=	PDP D		2nd	4th	1st	1st	2nd	10	795	2	2
18	GUU A		2nd	1st	2nd	1st	4th	10	794	2	2
19	Stanford C		3rd	1st	2nd	2nd	2nd	10	789	1	3
20	Athens A	ESL	3rd	2nd	2nd	2nd	1st	10	788	1	3
21	KCL A		3rd	1st	2nd	3rd	1st	10	784	2	1
22	GUU B		2nd	2nd	3rd	1st	2nd	10	779	1	3
23	Harvard D		1st	3rd	3rd	2nd	1st	10	778	2	1
24	UCL B		4th	1st	2nd	1st	2nd	10	768	2	2
25	Imperial A		1st	3rd	1st	2nd	4th	9	802	2	1
26	Manchester B		2nd	1st	3rd	3rd	2nd	9	800	1	2
27	Cambridge A		2nd	3rd	2nd	3rd	1st	9	798	1	2
28	Tartu A	ESL	1st	1st	4th	2nd	3rd	9	797	2	1
29	Stanford A		4th	1st	1st	1st	4th	9	793	3	0
30	Edinburgh B		2nd	3rd	1st	3rd	2nd	9	788	1	2
31	PDP E		1st	2nd	3rd	4th	1st	9	782	2	1
32	Bristol A		2nd	2nd	2nd	2nd	3rd	9	782	0	4
33	Belgrade A	ESL	1st	4th	1st	4th	1st	9	781	3	0
34	Yale A		1st	3rd	4th	2nd	1st	9	778	2	1
